2018,87,Bob Persichetti
2019,78,Anthony Russo
2018,68,Anthony Russo
2017,81,Lee Unkrich
2012,81,Quentin Tarantino
2012,78,Christopher Nolan
2009,67,Rajkumar Hirani
2008,95,Andrew Stanton
2006,89,Florian Henckel von Donnersmarck
2003,77,Chan-wook Park
2000,80,Christopher Nolan
1997,76,Hayao Miyazaki
1981,85,Steven Spielberg
1980,66,Stanley Kubrick
1979,94,Francis Ford Coppola
1979,89,Ridley Scott
1964,97,Stanley Kubrick
1957,90,Stanley Kubrick
1954,100,Alfred Hitchcock
2019,78,Sam Mendes
2012,77,Thomas Vinterberg
2011,95,Asghar Farhadi
2010,80,Denis Villeneuve
2009,69,Quentin Tarantino
2004,89,Michel Gondry
2001,69,Jean-Pierre Jeunet
2000,55,Guy Ritchie
2000,68,Darren Aronofsky
1999,84,Sam Mendes
1997,70,Gus Van Sant
1997,77,Majid Majidi
1995,95,John Lasseter
1995,68,Mel Gibson
1992,79,Quentin Tarantino
1987,76,Stanley Kubrick
1986,84,James Cameron
1984,88,Milos Forman
1983,65,Brian De Palma
1983,58,Richard Marquand
1981,86,Wolfgang Petersen
1976,94,Martin Scorsese
1973,83,George Roy Hill
1971,77,Stanley Kubrick
1968,84,Stanley Kubrick
1965,74,Sergio Leone
1962,100,David Lean
1960,94,Billy Wilder
1959,98,Alfred Hitchcock
1958,100,Alfred Hitchcock
1952,99,Stanley Donen
1944,95,Billy Wilder
1941,100,Orson Welles
1927,98,Fritz Lang
2018,69,Peter Farrelly
2017,88,Martin McDonagh
2019,65,Sergio Pablos
2013,73,Zaza Urushadze
2012,89,Anurag Kashyap
2009,80,Juan José Campanella
2011,71,Gavin O'Connor
2010,63,Martin Scorsese
2009,88,Pete Docter
2013,75,Martin Scorsese
2007,68,Shimit Amin
2007,93,Paul Thomas Anderson
2006,98,Guillermo del Toro
2010,92,Lee Unkrich
2005,62,James McTeigue
2005,70,Christopher Nolan
2004,82,Oliver Hirschbiegel
2004,80,Hayao Miyazaki
2001,72,Ron Howard
1998,66,Guy Ritchie
1997,90,Curtis Hanson
1995,76,Michael Mann
1995,73,Martin Scorsese
1992,85,Clint Eastwood
1989,65,Steven Spielberg
1988,86,Hayao Miyazaki
1988,72,John McTiernan
1985,96,Akira Kurosawa
1980,89,Martin Scorsese
1975,91,Terry Gilliam
1963,86,John Sturges
1962,88,Robert Mulligan
1961,60,Stanley Kramer
1959,98,Billy Wilder
1957,88,Ingmar Bergman
1957,88,Ingmar Bergman
1955,97,Jules Dassin
1954,75,Alfred Hitchcock
1950,98,Akira Kurosawa
1950,98,Joseph L. Mankiewicz
1948,98,John Huston
1942,86,Ernst Lubitsch
2019,95,Céline Sciamma
2016,78,Naoko Yamada
2016,84,Chan-wook Park
2014,74,Xavier Dolan
2017,77,James Mangold
2015,86,Lenny Abrahamson
2014,77,Damián Szifron
2020,83,Pete Docter
2014,88,Nuri Bilge Ceylan
2014,88,Wes Anderson
2014,79,David Fincher
2012,71,Mamoru Hosoda
2016,71,Mel Gibson
2015,94,Pete Docter
2013,96,Steve McQueen
2013,74,Ron Howard
2019,81,James Mangold
2015,93,Tom McCarthy
2014,85,Tomm Moore
2013,70,Denis Villeneuve
2015,90,George Miller
2008,72,Clint Eastwood
2011,85,David Yates
2008,68,Yôjirô Takita
2010,75,Dean DeBlois
2007,73,Sean Penn
2007,91,Ethan Coen
2004,86,Clint Eastwood
2004,79,Terry George
2004,64,Je-kyu Kang
2004,90,Richard Linklater
2003,82,Bong Joon Ho
2003,69,Quentin Tarantino
2003,90,Andrew Stanton
2002,75,Steven Spielberg
2000,83,Alejandro G. Iñárritu
2001,79,Pete Docter
2001,84,Ashutosh Gowariker
1999,64,M. Night Shyamalan
1998,58,Giuseppe Tornatore
1998,90,Peter Weir
1998,73,Emir Kusturica
1998,71,Joel Coen
2000,85,Kar-Wai Wong
1996,83,Danny Boyle
1996,85,Joel Coen
1995,77,Richard Linklater
1994,100,Krzysztof Kieslowski
1994,77,Kar-Wai Wong
1993,68,Steven Spielberg
1993,84,Jim Sheridan
1989,79,Peter Weir
1986,75,Rob Reiner
1986,92,Oliver Stone
1984,78,Wim Wenders
1984,86,Hayao Miyazaki
1982,57,John Carpenter
